,gene,direction
500,PTGFR,UP_resistance
501,PTPN22,UP_resistance
502,PTPRN,UP_resistance
503,PTPRT,UP_resistance
504,PTPRU,UP_resistance
505,PTRF,UP_resistance
506,PTX4,UP_resistance
507,PXDN,UP_resistance
508,RAB13,UP_resistance
509,RAB20,UP_resistance
510,RAB36,UP_resistance
511,RAET1G,UP_resistance
512,RARRES3,UP_resistance
513,RCN3,UP_resistance
514,RGAG4,UP_resistance
515,RGS7,UP_resistance
516,RIMBP2,UP_resistance
517,RNASEK-C17orf49,UP_resistance
518,RNU6-8,UP_resistance
519,RNU7-1,UP_resistance
520,ROBO3,UP_resistance
521,ROS1,UP_resistance
522,RRAD,UP_resistance
523,RSPH1,UP_resistance
524,RUNX2,UP_resistance
525,SAMD14,UP_resistance
526,SAP25,UP_resistance
527,SCARF1,UP_resistance
528,SCN2B,UP_resistance
529,SCNN1D,UP_resistance
530,SDC2,UP_resistance
531,SDK1,UP_resistance
532,SEC62,UP_resistance
533,SELPLG,UP_resistance
534,SEPP1,UP_resistance
535,SERPINE1,UP_resistance
536,SERTAD1,UP_resistance
537,SFXN5,UP_resistance
538,SH3BGRL2,UP_resistance
539,SH3BGRL3,UP_resistance
540,SHANK2-AS1,UP_resistance
541,SHC1,UP_resistance
542,SHC3,UP_resistance
543,SIM1,UP_resistance
544,SLC10A1,UP_resistance
545,SLC14A1,UP_resistance
546,SLC15A2,UP_resistance
547,SLC16A14,UP_resistance
548,SLC16A3,UP_resistance
549,SLC16A9,UP_resistance
550,SLC22A14,UP_resistance
551,SLC38A6,UP_resistance
552,SLC6A13,UP_resistance
553,SLC6A6,UP_resistance
554,SLFN13,UP_resistance
555,SMAD3,UP_resistance
556,SMOC1,UP_resistance
557,SNCAIP,UP_resistance
558,SNORD32A,UP_resistance
559,SNORD58C,UP_resistance
560,SNORD88A,UP_resistance
561,SNORD89,UP_resistance
562,SOCS1,UP_resistance
563,SOWAHD,UP_resistance
564,SPANXC,UP_resistance
565,SPEF1,UP_resistance
566,SPEG,UP_resistance
567,SPOCD1,UP_resistance
568,SPON1,UP_resistance
569,SRD5A3-AS1,UP_resistance
570,STX1A,UP_resistance
571,STX1B,UP_resistance
572,STYK1,UP_resistance
573,STYXL1,UP_resistance
574,SULT4A1,UP_resistance
575,SUSD2,UP_resistance
576,SYBU,UP_resistance
577,SYN1,UP_resistance
578,SYNPO2,UP_resistance
579,SYT1,UP_resistance
580,SYT12,UP_resistance
581,SYT8,UP_resistance
582,TAC3,UP_resistance
583,TAF12,UP_resistance
584,TAGLN,UP_resistance
585,TAS2R42,UP_resistance
586,TBC1D29,UP_resistance
587,TBX1,UP_resistance
588,TCAP,UP_resistance
589,TCL1A,UP_resistance
590,TDO2,UP_resistance
591,TFAMP1,UP_resistance
592,TGFBI,UP_resistance
593,THAP10,UP_resistance
594,TIMP1,UP_resistance
595,TLX3,UP_resistance
596,TM4SF20,UP_resistance
597,TMEFF2,UP_resistance
598,TMEM156,UP_resistance
599,TMEM190,UP_resistance
600,TMEM40,UP_resistance
601,TMEM71,UP_resistance
602,TMPRSS15,UP_resistance
603,TNNC2,UP_resistance
604,TPM1,UP_resistance
605,TRHDE,UP_resistance
606,TRIM15,UP_resistance
607,TRIM16,UP_resistance
608,TRIM16L,UP_resistance
609,TRIM54,UP_resistance
610,TRIM55,UP_resistance
611,TRIM8,UP_resistance
612,TRPC4,UP_resistance
613,TSLP,UP_resistance
614,TSPAN2,UP_resistance
615,TTC16,UP_resistance
616,TUBA3FP,UP_resistance
617,TUBA4A,UP_resistance
618,UACA,UP_resistance
619,UFM1,UP_resistance
620,UGT2A1,UP_resistance
621,UNC5B,UP_resistance
622,UNQ6975,UP_resistance
623,USP43,UP_resistance
624,VASN,UP_resistance
625,VEGFC,UP_resistance
626,VIT,UP_resistance
627,WBP4,UP_resistance
628,WBSCR28,UP_resistance
629,WDR65,UP_resistance
630,WFIKKN1,UP_resistance
631,ZBP1,UP_resistance
632,ZBTB46,UP_resistance
633,ZBTB7C,UP_resistance
634,ZCCHC5,UP_resistance
635,ZFHX4-AS1,UP_resistance
636,ZFP2,UP_resistance
637,ZFP36,UP_resistance
638,ZFP37,UP_resistance
639,ZFP57,UP_resistance
640,ZNF423,UP_resistance
641,ZNF486,UP_resistance
642,ZNF525,UP_resistance
643,ZNF563,UP_resistance
644,ZNF585B,UP_resistance
645,ZNF835,UP_resistance
646,ZNF883,UP_resistance
