ID_REF,GeneFoldChange,PValue,AdjPValue,Significant
TC0100006636.hg.1,-0.07833333333333314,0.7382024129940661,1.0,False
TC0100006637.hg.1,-0.03333333333333366,0.5450412346202216,1.0,False
TC0100006638.hg.1,0.07000000000000117,0.8082251075961338,1.0,False
TC0100006639.hg.1,0.0983333333333336,0.23045332111971328,1.0,False
TC0100006640.hg.1,0.25833333333333375,0.2555675502138432,1.0,False
TC0100006641.hg.1,0.044999999999999485,0.7014227793129422,1.0,False
TC0100006642.hg.1,0.013333333333333641,0.8594011287125054,1.0,False
TC0100006643.hg.1,0.13333333333333375,0.31055180157962514,1.0,False
TC0100006644.hg.1,-0.10666666666666602,0.6442863186691339,1.0,False
TC0100006645.hg.1,-0.42333333333333334,0.1091649709140934,1.0,False
TC0100006646.hg.1,0.07833333333333314,0.6651969545696692,1.0,False
TC0100006647.hg.1,0.05833333333333357,0.6455807858947921,1.0,False
TC0100006648.hg.1,0.34166666666666634,0.24388610732348662,1.0,False
TC0100006649.hg.1,-0.07666666666666666,0.7881775767699811,1.0,False
TC0100006650.hg.1,-0.6783333333333332,0.3248175048933685,1.0,False
TC0100006651.hg.1,0.10666666666666735,0.3162936282039448,1.0,False
TC0100006652.hg.1,0.24499999999999966,0.05723843573214508,1.0,False
TC0100006653.hg.1,-0.01666666666666705,0.9365979583423732,1.0,False
TC0100006654.hg.1,-0.0916666666666659,0.6599696347407673,1.0,False
TC0100006655.hg.1,-0.07000000000000028,0.7199680957700185,1.0,False
TC0100006656.hg.1,0.14000000000000057,0.4796208962437054,1.0,False
TC0100006657.hg.1,0.054999999999999716,0.9225398907386655,1.0,False
TC0100006658.hg.1,-0.10666666666666647,0.48257773812916405,1.0,False
TC0100006659.hg.1,-0.37166666666666703,0.1899268932653156,1.0,False
TC0100006660.hg.1,-0.13833333333333364,0.27966167333821335,1.0,False
TC0100006661.hg.1,0.013333333333333641,0.7586222451721512,1.0,False
TC0100006662.hg.1,0.06000000000000005,0.5214085324257997,1.0,False
TC0100006663.hg.1,0.004999999999999893,0.9791118184761006,1.0,False
TC0100006664.hg.1,0.011666666666666714,0.9298257737810768,1.0,False
TC0100006665.hg.1,0.03166666666666629,0.726610393332223,1.0,False
TC0100006666.hg.1,-0.25666666666666593,0.034800190355405124,1.0,False
TC0100006667.hg.1,-0.11666666666666714,0.4849375052727909,1.0,False
TC0100006668.hg.1,0.125,0.34023694714042424,1.0,False
TC0100006669.hg.1,-0.023333333333333428,0.7713253921129081,1.0,False
TC0100006670.hg.1,0.1783333333333328,0.34727436803937856,1.0,False
TC0100006671.hg.1,0.02500000000000213,0.7021230366765132,1.0,False
TC0100006672.hg.1,-0.08500000000000041,0.48957957731566426,1.0,False
TC0100006673.hg.1,0.06833333333333425,0.6923807775554065,1.0,False
TC0100006674.hg.1,-0.12833333333333297,0.37500684820266755,1.0,False
TC0100006675.hg.1,-0.7950000000000017,0.7091568812783239,1.0,False
TC0100006676.hg.1,0.05833333333333357,0.8974850476904078,1.0,False
TC0100006677.hg.1,0.1566666666666663,0.5716536706110374,1.0,False
TC0100006678.hg.1,-0.11166666666666636,0.48470882067337767,1.0,False
TC0100006679.hg.1,-0.418333333333333,0.2470264241369349,1.0,False
TC0100006680.hg.1,-0.34666666666666757,0.030456722541656985,1.0,False
TC0100006681.hg.1,-0.04499999999999904,0.7804734110290457,1.0,False
TC0100006682.hg.1,-0.011666666666666714,0.9717695069634589,1.0,False
TC0100006683.hg.1,0.05166666666666675,0.8029121568053746,1.0,False
TC0100006684.hg.1,0.41999999999999904,0.11021540640067048,1.0,False
TC0100006685.hg.1,0.10666666666666691,0.3087887972326315,1.0,False
TC0100006686.hg.1,0.21999999999999975,0.35734992709020114,1.0,False
TC0100006687.hg.1,0.08000000000000007,0.6292280886961386,1.0,False
TC0100006688.hg.1,0.050000000000000266,0.7042800217339725,1.0,False
TC0100006689.hg.1,0.12166666666666703,0.5118159796522193,1.0,False
TC0100006690.hg.1,0.17999999999999972,0.37940503793553676,1.0,False
TC0100006691.hg.1,-0.20333333333333226,0.1144335294458597,1.0,False
TC0100006692.hg.1,-0.24666666666666615,0.4856362973159623,1.0,False
TC0100006693.hg.1,0.08500000000000085,0.5498702629471762,1.0,False
TC0100006694.hg.1,0.25833333333333286,0.36873837846550445,1.0,False
TC0100006695.hg.1,4.440892098500626e-16,0.9999999999999976,1.0,False
TC0100006696.hg.1,0.10666666666666647,0.21185161028045238,1.0,False
TC0100006697.hg.1,-0.1850000000000005,0.4569489808753154,1.0,False
TC0100006698.hg.1,-0.20333333333333137,0.5434642916623419,1.0,False
TC0100006699.hg.1,0.07833333333333314,0.8095251639678676,1.0,False
TC0100006700.hg.1,-0.16833333333333478,0.44031766873683936,1.0,False
TC0100006701.hg.1,-0.19000000000000128,0.19624785796885644,1.0,False
TC0100006702.hg.1,0.5283333333333338,0.016950405541211768,1.0,False
TC0100006703.hg.1,0.04999999999999982,0.7113046033018308,1.0,False
TC0100006704.hg.1,-0.06833333333333291,0.8183118697439848,1.0,False
TC0100006705.hg.1,0.07499999999999929,0.7833071083418112,1.0,False
TC0100006706.hg.1,0.211666666666666,0.09758604399491033,1.0,False
TC0100006707.hg.1,-0.023333333333333428,0.9757409815690538,1.0,False
TC0100006708.hg.1,0.40166666666666684,0.18595065926480342,1.0,False
TC0100006709.hg.1,0.2466666666666666,0.1210476767660717,1.0,False
TC0100006710.hg.1,-0.0050000000000003375,0.9746369974321989,1.0,False
TC0100006711.hg.1,-0.17166666666666597,0.32643438553424453,1.0,False
TC0100006712.hg.1,-0.1900000000000004,0.4818768521964399,1.0,False
TC0100006713.hg.1,0.40000000000000036,0.29926349676130387,1.0,False
TC0100006714.hg.1,0.009999999999999787,0.9372215659348402,1.0,False
TC0100006715.hg.1,0.06666666666666732,0.7240513862597215,1.0,False
TC0100006716.hg.1,-0.2183333333333337,0.34927529393880435,1.0,False
TC0100006717.hg.1,0.07833333333333314,0.45493473416293195,1.0,False
TC0100006718.hg.1,0.05500000000000105,0.7533713006273353,1.0,False
TC0100006719.hg.1,0.23666666666666725,0.1495181657793262,1.0,False
TC0100006720.hg.1,0.07500000000000018,0.6032017365033671,1.0,False
TC0100006721.hg.1,0.15166666666666595,0.2488157967817006,1.0,False
TC0100006722.hg.1,0.19166666666666554,0.7168444620410749,1.0,False
TC0100006723.hg.1,0.2433333333333323,0.47569591565138586,1.0,False
TC0100006724.hg.1,-0.00833333333333286,0.9840624310538287,1.0,False
