GeneSym,PhosphoLog2FC,n_phosphosites,n_sig_phospho,ProteinLog2FC,ProteinSig
RPA1,0.8467837164568763,1,0,0.08941958550998308,False
RUNX3,0.8463750668696306,5,0,0.09387628013793758,False
DHX8,0.8460390666922706,1,0,0.4751545034640152,False
AGPS,0.8438884777645619,1,0,0.24444594532338826,False
TOM1L1,0.8419680856015059,2,0,-0.1683494892971531,False
CPQ,0.8409449189311715,1,0,-0.09992027270672921,False
GMPS,0.8390908339371315,2,0,0.033636017489410364,False
TGS1,0.8373275993663238,6,1,0.3030896409492492,False
CPOX,0.8369931746557668,1,0,0.12349062445945336,False
MDP1,0.8361822563857011,1,0,0.02967362857707201,False
SCD,0.8330377449324331,2,0,0.48033511815269847,False
XRN1,0.8321730562983127,1,0,0.0318605580165503,False
EFR3A,0.8307230686956419,2,0,0.02792966827449206,False
LRWD1,0.8298143878750196,5,1,0.1795722614252746,False
PCF11,0.8282363169778012,10,3,0.1570387558929518,False
GGT7,0.8257468316203832,3,1,-0.026547041703647523,False
HNRNPA1,0.8234479292556314,4,0,0.2063190708821665,False
PAK2,0.8226215650914371,3,0,-0.06263678307551857,False
NME2P1,0.8214239296442022,3,1,0.00977401206796813,False
UBE2O,0.8205758173135047,8,3,-0.04707778340632274,False
CCNH,0.8201775670574243,1,0,0.15159864913016108,False
CAMK4,0.8194309541445884,3,0,0.17047060391997348,False
CDC40,0.8189461450281428,1,0,0.06655241773157172,False
AATF,0.8185693348189096,4,0,0.06428199068709617,False
LIG1,0.8156611282270121,13,2,0.6821199920985528,False
ZNF598,0.815316286064288,1,0,-0.046322426882682066,False
TERF2,0.8142253493921423,1,0,0.12224148634117427,False
MAVS,0.8140427332396293,5,2,-0.22486514593626694,False
NMD3,0.813632086002715,3,1,0.030052834555846175,False
TMEM63B,0.812289178679082,2,1,-0.470035870230852,False
ORC6,0.8106796430144172,1,0,-0.016112717522549502,False
INTS12,0.8086952472497634,3,0,0.0797952847404737,False
SYMPK,0.8083241914295939,9,2,0.12447787656557097,False
RBMXL1,0.8078534367209009,1,0,0.03606100155313641,False
NUP160,0.8064420787984403,1,0,0.1472332471731832,False
PRR11,0.8064137375055935,5,2,0.4368823877115666,False
RENBP,0.8044240001900071,1,0,0.1542926554633226,False
RAB11FIP5,0.8038917779649353,3,1,0.029357321163306693,False
FYCO1,0.8028988828113555,1,0,0.3386079413890073,False
NCK1,0.8019300440144583,3,1,-0.049269886637933524,False
CDT1,0.8011039265420964,3,0,0.0324215277094666,False
WASF2,0.8010438770125958,1,0,-0.08733112864639736,False
MBD3,0.8004679315017746,2,1,0.23428110125055923,False
PACSIN3,0.7996017875059209,4,0,0.14827685372915056,False
H1FX,0.7992179791432452,2,0,0.27194404600039945,False
SEC61B,0.7982074993548671,5,0,-0.044222819843543704,False
C1orf21,0.7973613975322404,2,0,0.03942487814538964,False
HNRNPM,0.7936021984294159,8,3,-0.003915967278416588,False
MED14,0.7914356852636679,2,0,0.2507655154868651,False
PARP1,0.7903071112976967,5,1,0.17523712594170604,False
NDNL2,0.7902218957665461,2,1,-0.14283055499476305,False
SYNE2,0.7898999450385409,4,1,0.19225434764222982,False
CUX1,0.7878488927445717,7,2,0.16925630737146946,False
C17orf85,0.78778129166166,4,1,0.19986174713095295,False
TTLL12,0.7870481146087549,1,0,0.023625981194960843,False
EIF2A,0.7868310021126685,2,0,-0.014414420432697028,False
SRSF7,0.7850362029621692,12,2,0.2340004213732101,False
BRAT1,0.784439087428737,2,1,0.5108827449587423,False
ZNF428,0.7837648871258587,2,0,0.14426908655569903,False
EIF4EBP1,0.7828849218781567,10,3,1.3469708331411425,False
MBD4,0.7824787723457032,2,0,0.09396370004294852,False
C12orf45,0.7823771584551054,1,0,0.35168512433035914,False
FANCI,0.7822295603172869,1,0,0.38847138529527925,False
C18orf25,0.7815021225724674,6,1,-0.017542269336288996,False
SNTB2,0.7809246801217228,5,0,0.04878535490311364,False
HECTD1,0.7808298818438288,1,0,0.02356643658600177,False
BCL2L13,0.7799945179733762,5,1,0.026648703296736187,False
IP6K1,0.7795180271274411,1,0,0.08027424496762592,False
EFHD2,0.7787988576409764,3,0,0.0239755254880194,False
SAP30BP,0.7774985036917954,2,1,-0.1380403937453245,False
SOX10,0.7747919114921895,13,3,0.26807457696800086,False
PRPF3,0.7741112298082644,2,1,0.08062307442089178,False
FRMD4A,0.7730305823350051,5,1,-0.31968465098362486,False
TRIM32,0.7704634822615072,3,1,0.048622604415328396,False
PSMA5,0.7698207335069771,2,0,0.1004561613420556,False
PSEN2,0.7692189265963556,4,1,0.18762148640709597,False
EIF3H,0.7684767347179644,1,0,0.17638935212410445,False
ZZEF1,0.7662315228808497,3,1,0.09962997347052038,False
NKAP,0.7658106498549877,3,0,0.0640544476898981,False
RPL18,0.7643750274058441,1,0,0.029594149240146805,False
SH3GL1,0.7637861244040476,2,0,-0.14770420434417275,False
DDX24,0.763721404435428,5,1,0.12192545984552439,False
NOL12,0.7594988229947267,3,0,0.06779447818344408,False
TPD52,0.7589539563165557,4,0,-0.04517222910487817,False
VPRBP,0.7589212147705293,2,0,-0.06238157454653859,False
DTD1,0.7587584302092978,3,0,-0.6213481844774478,False
FLYWCH2,0.7538518320975811,1,0,-0.4153708738709767,False
SPRY1,0.7535348590913884,1,0,0.003637779129583407,False
DHX30,0.7523268954806568,2,1,0.24937958923448278,False
SF3A3,0.7515215023013262,1,0,0.03789051334772253,False
CCDC82,0.7513286552713625,4,1,0.06911774566856366,False
SQSTM1,0.7505466081313845,13,1,0.25481994913812755,False
NOLC1,0.7498099676870515,9,2,0.3668635637139346,False
RPP38,0.7484589057381198,3,0,-0.014330910395969454,False
BUB3,0.74822897818472,2,1,-0.06552445779462701,False
QRICH1,0.7468731830961985,1,0,-0.2473968627958527,False
REXO4,0.7465988559173686,4,0,0.08849100469334203,False
USP22,0.7461428155359577,1,0,0.12022450071732038,False
FAM208A,0.7459177022064345,5,1,-0.25608493761109585,False
MGEA5,0.7450804672556792,1,0,-0.1318741668867709,False
NFIC,0.7437684425116556,6,1,0.39943654266254214,False
