,ProteinFoldChange,PValue,AdjPValue,Significant
CPTP,0.03343832794176649,0.6639563215911513,0.9558209137948426,False
DCAF8,-0.01689432660631951,0.8593601993926183,0.9853852578924835,False
ZCCHC11,0.08111672588503538,0.34050435894454567,0.8676073108938235,False
RNASEH2B,0.10152288214298721,0.2900418658805112,0.8487579901098453,False
ATP1A1-AS1,0.09587189876664226,0.20783918294838474,0.7885879376608819,False
ATPAF1,-0.04507782280126449,0.7159127235169186,0.9676325091013172,False
RC3H1,0.050516341618646265,0.5280491509260141,0.928947555129878,False
DDI2,0.10225367138784591,0.6112775247672199,0.9524750433088539,False
ZNF697,-0.023432959777398565,0.8142846832790321,0.9796427422937294,False
THEMIS2,-0.23106344395837297,0.32762520340867235,0.8643320035562339,False
NDUFAF5,0.13328437751107103,0.16233258321698263,0.7517808855755417,False
SOGA3,-0.0892890517186089,0.36857770902985565,0.8697460790638508,False
NT5DC1,0.3726263142852133,0.040382603345684304,0.46821991446752886,False
AHDC1,-0.08195676761643611,0.6187989688821554,0.9533884235117631,False
VPS13D,-0.05442354157284868,0.8814899230348892,0.9878583368264134,False
PRR14L,0.019682649883723258,0.9453857270173849,0.9929705792864855,False
LIN9,0.050744629630457894,0.520412071775529,0.9274028473762195,False
CROCC,0.3968951077249976,0.6502205952625267,0.9558209137948426,False
TMEM164,-0.03904659712521408,0.8717751007250298,0.9864997068182194,False
ASPHD1,0.13816206198973546,0.4076462903739146,0.8770879497439329,False
LYRM7,0.6734013690533978,0.03305202205129288,0.4329938901791078,False
EMC10,-0.07304252812437895,0.6841062176649767,0.957453092639316,False
RIF1,0.4561559995984794,0.0001195820257923356,0.12310583753894268,False
VPS53,-0.19943129726667053,0.5607699471010618,0.9412902243607043,False
STRIP1,0.09339374044481019,0.3086236939026362,0.8597341507042215,False
ABHD17B,-0.005162137922766874,0.9562147300684776,0.9943137920657577,False
OBSCN,0.5182940390252462,0.255117267416879,0.8290968166032652,False
CDC42BPA,-0.05303793909474663,0.8480492158255697,0.9839674199605718,False
RPRD2,-0.044617283448658895,0.5970942494513621,0.9479632391439603,False
ANGEL2,0.0324215277094666,0.6753273082121741,0.9558209137948426,False
PRPF38B,0.07833331044895075,0.46671952648746234,0.9027172085803488,False
RNF20,0.0142709116288664,0.8385712618631705,0.9818424436116271,False
PDE4DIP,5.103754231328139e-05,0.9999010674028137,0.9999198701647669,False
CACHD1,0.08767629778530761,0.39731055128178927,0.8764319149979993,False
ZNF318,-0.2398723770866411,0.4645214528525903,0.9009028176933147,False
CDKAL1,-0.3237847756356942,0.19557351619985783,0.7743704887069277,False
MYSM1,0.07783418596974201,0.4141674520391092,0.8770879497439329,False
BROX,0.01354587625648307,0.9207474277941364,0.9929705792864855,False
FOCAD,-0.013611303294450039,0.9458871171141934,0.9929705792864855,False
SNX30,0.10230103826171799,0.6336094780156408,0.9558209137948426,False
