Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	Labels2	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets Sequenced	Multiplets Sequenced [%]	Multiplets Repeatedly Sequenced	Multiplets Repeatedly Sequenced [%]	Multiplets Identified	Multiplets Identified [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
2013114_CCS_MEKi_30min_P05	MEK1	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16047	97953	118990	43172	33744	42074	39424	26823	11314	1287	33.13	62.13	33.53	3.06	17513	2231039	90178	4.04	2055	2.28	267655	71100	68007	26.56	30.76	4981	7.01	27025	2740	9368	13647	1161	100	8	1	19687	72.85	13665	69.41	12185	61.89	+	0.48567	0.65304	0.3101	0.44184	
2013114_CCS_MEKi_30min_P06	MEK1	6	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		18135	90004	116764	32237	31007	53520	25473	18935	5962	576	21.82	58.74	19.23	1.08	10582	2701865	80240	2.97	2209	2.75	264112	57344	55483	21.71	24.43	4989	8.7	19791	442	3711	8640	5450	1344	167	37	14441	72.97	10067	69.71	8748	60.58	+	0.66418	0.84195	0.37399	0.5093	
2013114_CCS_RAFi_30min_P01	RAF1	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14044	106477	124001	49892	39061	35048	56107	35900	17650	2557	45.25	71.96	45.19	7.3	26481	2582465	101642	3.94	1501	1.48	347090	84827	81714	24.44	27.85	3625	4.27	35856	3901	15005	12917	3381	592	50	10	24339	67.88	16212	66.61	17444	71.67	+	0.48744	0.6683	0.32053	0.4707	
2013114_CCS_RAFi_30min_P02	RAF1	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		22868	69223	91512	19294	27636	44582	3028	2388	589	51	3.31	12.38	2.13	0.11	1390	2151160	62100	2.89	1617	2.6	152851	42961	39034	28.11	37.33	3284	7.64	12778	2701	6437	3170	401	58	10	1	9121	71.38	6286	68.92	1191	13.06	+	0.68538	0.85395	0.50944	0.69069	
2013114_CCS_RAFi_30min_P03	RAF1	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		29474	44133	61713	12410	14143	35160	969	868	97	4	1.57	6.99	0.69	0.01	554	1994925	39324	1.97	857	2.18	81938	23462	22179	28.63	41.52	2762	11.77	5367	124	1706	2965	551	21	0	0	4905	91.39	4104	83.67	578	11.78	+	0.70821	0.84101	0.57036	0.68697	
2013114_CCS_RAFi_30min_P04	RAF1	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16265	96857	111170	50039	32505	28626	42087	29337	11293	1457	37.86	58.63	34.74	5.09	21702	2167227	92180	4.25	1719	1.86	286099	78475	75668	27.43	33.44	3513	4.48	36004	5831	22253	7131	760	24	3	2	24574	68.25	16529	67.26	14668	59.69	+	0.51708	0.7103	0.33984	0.4876	
2013114_CCS_RAFi_30min_P05	RAF1	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		15284	100249	118653	46477	35368	36808	39009	27467	10516	1026	32.88	59.1	29.73	2.79	17688	2281808	94139	4.13	1785	1.9	287456	76614	73211	26.65	30.53	4553	5.94	30290	3001	10455	15148	1569	108	9	0	21767	71.86	14898	68.44	12845	59.01	+	0.5006	0.67594	0.32431	0.4658	
2013114_CCS_RAFi_30min_P06	RAF1	6	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		19532	83628	105126	33229	28899	42998	19856	16039	3494	323	18.89	48.27	12.09	0.75	8904	2613625	76144	2.91	1766	2.32	261692	57345	55618	21.91	24.57	3992	6.96	21724	537	4724	9256	5730	1329	128	20	15372	70.76	10445	67.95	7949	51.71	+	0.64892	0.81837	0.34611	0.46729	
20131114_CCS_EV_A375_RAFi_30min_S01	RAF1	7	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14792	83774	123275	19578	24695	79002	10023	7827	1772	424	8.13	39.98	7.18	0.54	2537	1646818	70273	4.27	4441	6.32	108003	36154	30962	33.47	42.12	5986	16.56	7414	182	4221	2525	375	86	16	9	6646	89.64	5530	83.21	2783	41.87	+	0.58467	0.72491	0.47047	0.61449	
20131114_CCS_EV_A375_RAFi_30min_S02_12	RAF1	8	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13320	88692	129375	22546	25463	81366	10376	8258	1736	382	8.02	36.63	6.82	0.47	2769	1738468	73300	4.22	4645	6.34	122072	38748	34546	31.74	40.41	6846	17.67	8412	171	3878	3740	494	96	24	9	7429	88.31	6190	83.32	2777	37.38	+	0.62903	0.77223	0.46602	0.60416	
