ensp,gene
ENSP00000261716,TAOK1
ENSP00000261745,NAA25
ENSP00000261845,MAPK6
ENSP00000261868,EIF3J
ENSP00000261875,HACD3
ENSP00000261880,AAGAB
ENSP00000261893,LACTB
ENSP00000261897,PRPF40B
ENSP00000261965,TUBGCP3
ENSP00000262013,SPAG9
ENSP00000262027,MARS1
ENSP00000262030,ATP5F1B
ENSP00000262033,PTGES3
ENSP00000262041,MEOX2
ENSP00000262053,ATF1
ENSP00000262056,EIF4B
ENSP00000262077,NUP153
ENSP00000262144,WDR59
ENSP00000262189,KMT2C
ENSP00000262215,ARFGEF1
ENSP00000262238,YY1
ENSP00000262384,N4BP1
ENSP00000262395,TRAF4
ENSP00000262415,DHX8
ENSP00000262461,SLC12A2
ENSP00000262519,SETD1A
ENSP00000262570,CHCHD3
ENSP00000262577,ZC3H3
ENSP00000262613,NHERF1
ENSP00000262679,NRDC
ENSP00000262719,PHLPP1
ENSP00000262738,CELSR1
ENSP00000262811,MAST3
ENSP00000262878,SAMHD1
ENSP00000262904,E2F3
ENSP00000262948,MAP2K2
ENSP00000262962,YJU2
ENSP00000262975,ZMYND8
ENSP00000263025,MAPK3
ENSP00000263026,EEF2K
ENSP00000263102,CCDC6
ENSP00000263103,BICC1
ENSP00000263168,CAPZA1
ENSP00000263202,UFD1
ENSP00000263212,PPM1F
ENSP00000263253,EP300
ENSP00000263265,PLEKHA4
ENSP00000263268,MREG
ENSP00000263274,LIG1
ENSP00000263276,GYS1
ENSP00000263277,EHD2
ENSP00000263280,STRN4
ENSP00000263377,BRD4
ENSP00000263390,MED26
ENSP00000263461,WDR11
ENSP00000263630,CCDC88A
ENSP00000263674,ARHGEF17
ENSP00000263681,POLD3
ENSP00000263710,CLASP1
ENSP00000263773,FNBP4
ENSP00000263801,TP53BP1
ENSP00000263805,ZNF106
ENSP00000263847,OSBP
ENSP00000263856,CHMP3
ENSP00000263918,STRN
ENSP00000263934,KIF1B
ENSP00000263956,GTF3C3
ENSP00000263997,SLC7A6OS
ENSP00000264025,NECTIN1
ENSP00000264033,CBL
ENSP00000264052,SP100
ENSP00000264108,HAT1
ENSP00000264158,RAB3GAP1
ENSP00000264161,DARS1
ENSP00000264245,ARHGAP31
ENSP00000264254,PDCL3
ENSP00000264276,ALS2
ENSP00000264279,NOP58
ENSP00000264313,SLAIN2
ENSP00000264366,ANK2
ENSP00000264380,PIKFYVE
ENSP00000264431,RAPGEF2
ENSP00000264515,RBBP5
ENSP00000264560,PALM
ENSP00000264606,HDAC4
ENSP00000264645,CASC3
ENSP00000264670,NSUN2
ENSP00000264819,MIER2
ENSP00000264930,SLC12A7
ENSP00000264977,PPP2R3A
ENSP00000264993,CDV3
ENSP00000265056,MCM2
ENSP00000265062,RAB7A
ENSP00000265069,ZFR
ENSP00000265107,WDR70
ENSP00000265131,TNC
ENSP00000265140,SLF1
ENSP00000265260,PCNP
ENSP00000265271,RBM27
ENSP00000265284,TLE4
ENSP00000265295,SPDL1
ENSP00000265299,MINDY4
ENSP00000265343,AFF4
ENSP00000265348,CUL7
ENSP00000265433,NBN
ENSP00000265465,POLA2
ENSP00000265560,USP4
ENSP00000265562,PTPN23
ENSP00000265565,SCAP
ENSP00000265586,ABCC5
ENSP00000265637,PPP6R3
ENSP00000265717,PRKAR2B
ENSP00000265728,DBF4
ENSP00000265742,ANKIB1
ENSP00000265748,ANLN
ENSP00000265961,MAPKAP1
ENSP00000265970,PIK3C2A
ENSP00000266022,RBM6
ENSP00000266025,TMEM115
ENSP00000266069,GID8
ENSP00000266079,PRPF6
ENSP00000266126,EIF2B2
ENSP00000266481,DNM1L
ENSP00000266508,AEBP2
ENSP00000266529,ZCRB1
ENSP00000266732,TMPO
ENSP00000266735,SNRPF
ENSP00000266970,CDK2
ENSP00000267064,SMARCC2
ENSP00000267163,RB1
ENSP00000267229,RBM26
ENSP00000267622,TRIP11
ENSP00000267812,MFAP1
ENSP00000267836,MYEF2
ENSP00000267838,LYSMD2
ENSP00000268059,PML
ENSP00000268182,IQGAP1
ENSP00000268296,ITGAX
ENSP00000268383,CDR2
ENSP00000268712,NCOR1
ENSP00000268717,COPS3
ENSP00000268802,NOB1
ENSP00000268835,PRPSAP2
ENSP00000268893,TSPOAP1
ENSP00000269033,SSH2
ENSP00000269243,MYH10
ENSP00000269397,CBX4
ENSP00000269701,AKAP8
ENSP00000269740,SLC39A3
ENSP00000269848,PFKL
ENSP00000269886,SH3GL1
ENSP00000269980,BCKDHA
ENSP00000270066,SMG9
ENSP00000270301,WDR62
ENSP00000271277,CTTNBP2NL
ENSP00000271308,PSMA5
ENSP00000271620,PRUNE1
ENSP00000271638,S100A11
ENSP00000272091,SDE2
ENSP00000272139,C1orf35
ENSP00000272542,SLC20A1
ENSP00000272845,UNC80
ENSP00000273038,VGLL4
ENSP00000273075,DNPEP
ENSP00000273130,DYNC1LI1
ENSP00000273139,RBMS3
ENSP00000273308,CNPY2
ENSP00000273550,FTH1
ENSP00000274000,AP1AR
ENSP00000274008,AFG2A
ENSP00000274254,SKP2
ENSP00000274276,OSMR
ENSP00000275034,PHIP
ENSP00000275418,ESYT2
ENSP00000275517,CDCA5
ENSP00000275603,CCT6A
ENSP00000275732,GIGYF1
ENSP00000275820,NOM1
ENSP00000276297,DLC1
ENSP00000276440,DOCK5
ENSP00000276602,TERF1
ENSP00000277165,FAM120A
ENSP00000277225,ZNF462
ENSP00000277570,PROSER2
ENSP00000278070,PPRC1
ENSP00000278100,BCCIP
ENSP00000278412,SSRP1
ENSP00000278612,NPAT
ENSP00000278618,AASDHPPT
ENSP00000278671,LAMTOR1
ENSP00000278823,MTA2
ENSP00000278849,INCENP
ENSP00000278903,EI24
ENSP00000278916,CHEK1
ENSP00000279281,VPS51
ENSP00000279392,HIRIP3
ENSP00000280362,PTS
ENSP00000280377,USP15
ENSP00000280557,DENR
ENSP00000280571,RILPL2
ENSP00000280612,SLC7A11
ENSP00000280665,DCP1B
ENSP00000280772,ANK3
ENSP00000280780,FAM53B
